Ticker,Company,Sector,Address,Tel,Website,IdCompany,Group Sector
AAA,Công ty cổ phần Nhựa An Phát Xanh,Nguyên vật liệu,"Lô CN 11 + CN 12 Cụm Công nghiệp An Đồng, Thị trấn Nam Sách, Huyện Nam Sách, Tỉnh Hải Dương, Việt Nam",+84 220 3755998,www.anphatbioplastic.com,0800373586,Nguyên vật liệu
AAM,Công ty Cổ phần Thủy sản Mekong,"Thực phẩm, đồ uống và thuốc lá","Lô 24, Khu Công nghiệp Trà nóc, Phường Trà Nóc, Quận Bình Thủy, Thành phố Cần Thơ, Việt Nam",(+84) 29238415,http://www.mekongfish.vn/,1800448811,Hàng tiêu dùng thiết yếu
AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,Đồ tiêu dùng và trang trí,"Số 09 khu công nghiệp Bắc Sơn Bỉm Sơn, Phường Bắc Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa, Việt Nam",+84 220 3755998,www.tiensonaus.com,2800222245,Hàng tiêu dùng không thiết yếu
ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Các dịch vụ chuyên biệt và thương mại,"CR3 - 16G, Lầu 2, 109 Tôn Dật Tiên, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",+84 28 54138366,www.vbinvest.com.vn,0312080709,Công nghiệp
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hàng hóa chủ chốt,"Số 03 Nguyễn Du, Phường Đức Thắng, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",(+84) 28393007,www.bitagco.com,3400382278,Công nghiệp
ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá","Ấp 9, Xã Tân Thạch, Huyện Châu Thành, Tỉnh Tây Ninh, Việt Nam",(+84) 27538602,www.aquatexbentre.com,1300376365,Hàng tiêu dùng thiết yếu
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,"442 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",+84 28 39290999,www.acb.com.vn,0301452948,Tài chính
ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,Nguyên vật liệu,"Đường N7, Khu Công nghiệp Mỹ Phước, Phường Mỹ Phước, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",+84 650 3567200,www.becamexacc.com.vn,3700926112,Nguyên vật liệu
ACG,Công ty Cổ phần Gỗ An Cường,Nguyên vật liệu,,,,,Nguyên vật liệu
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá","90 Hùng Vương, Khóm Mỹ Thọ, P Mỹ Quý, Thành phố Long Xuyên, Tỉnh An Giang, Việt Nam",+84 296 3931000,www.clfish.com,1600680398,Hàng tiêu dùng thiết yếu
